train 36604 images, use 732.8071296215057 seconds, loss 16.84363589711956
train 36804 images, use 735.7766904830933 seconds, loss 16.839737599892505
train 37004 images, use 738.6488716602325 seconds, loss 16.83516237594532
train 37204 images, use 741.5649666786194 seconds, loss 16.831631025020293
train 37404 images, use 744.5408177375793 seconds, loss 16.82926920227152
train 37604 images, use 747.4940500259399 seconds, loss 16.825608339697165
train 37804 images, use 751.0332548618317 seconds, loss 16.822983845885506
train 38004 images, use 754.0297887325287 seconds, loss 16.822314019304557
train 38204 images, use 756.8816475868225 seconds, loss 16.820441854059997
train 38404 images, use 759.8064692020416 seconds, loss 16.817067995987145
train 38604 images, use 762.6918234825134 seconds, loss 16.81400148096887
train 38804 images, use 765.6226921081543 seconds, loss 16.8110556219121
train 39004 images, use 768.5605087280273 seconds, loss 16.80824033582279
train 39204 images, use 771.4532735347748 seconds, loss 16.80368401619445
train 39404 images, use 774.3557755947113 seconds, loss 16.80180643149812
train 39604 images, use 777.1814622879028 seconds, loss 16.800300820912526
train 39804 images, use 780.1091613769531 seconds, loss 16.796705530962377
train 40004 images, use 784.1526992321014 seconds, loss 16.795845962624337
train 40204 images, use 787.1712281703949 seconds, loss 16.793688612728065
train 40404 images, use 790.0789012908936 seconds, loss 16.790788434231974
train 40604 images, use 793.0152914524078 seconds, loss 16.788991581651523
train 40804 images, use 795.8964176177979 seconds, loss 16.7869534387796
train 41004 images, use 798.8125274181366 seconds, loss 16.78517389799811
train 41204 images, use 801.6340293884277 seconds, loss 16.78093810573038
train 41404 images, use 804.5657048225403 seconds, loss 16.778208180870486
train 41604 images, use 807.430549621582 seconds, loss 16.775900297636163
train 41804 images, use 810.3010585308075 seconds, loss 16.77411730299496
train 42004 images, use 813.1305773258209 seconds, loss 16.771456061987802
train 42204 images, use 817.3870618343353 seconds, loss 16.76938395657442
train 42404 images, use 820.2025461196899 seconds, loss 16.767670673056607
train 42604 images, use 823.0248484611511 seconds, loss 16.765536362991448
train 42804 images, use 825.8915185928345 seconds, loss 16.763045767939353
train 43004 images, use 828.9124772548676 seconds, loss 16.759709429350636
train 43204 images, use 831.9002022743225 seconds, loss 16.757744265052924
train 43404 images, use 834.8326494693756 seconds, loss 16.756004191130412
train 43604 images, use 837.750474691391 seconds, loss 16.753409512085426
train 43804 images, use 840.5884585380554 seconds, loss 16.752397764242854
train 44004 images, use 843.4452676773071 seconds, loss 16.750284077925716
train 44204 images, use 846.3672080039978 seconds, loss 16.74821375152403
train 44404 images, use 849.3072426319122 seconds, loss 16.74476655748079
train 44604 images, use 852.7144429683685 seconds, loss 16.741373476800824
train 44804 images, use 855.7142550945282 seconds, loss 16.738281110209495
train 45004 images, use 858.5862686634064 seconds, loss 16.736858831111366
train 45204 images, use 861.4918191432953 seconds, loss 16.734519249611125
train 45404 images, use 864.3710503578186 seconds, loss 16.73311556788546
train 45604 images, use 867.2948715686798 seconds, loss 16.73045329340005
train 45804 images, use 870.2237133979797 seconds, loss 16.72866808722746
train 46004 images, use 873.079906463623 seconds, loss 16.72590803349667
train 46204 images, use 875.9228475093842 seconds, loss 16.72307072641777
train 46404 images, use 878.8050141334534 seconds, loss 16.71993501283777
train 46604 images, use 881.666198015213 seconds, loss 16.71806785849988
train 46804 images, use 885.3220498561859 seconds, loss 16.71637308778895
train 47004 images, use 888.3288750648499 seconds, loss 16.71323177033821
train 47204 images, use 891.2758507728577 seconds, loss 16.712652219349884
train 47404 images, use 894.2115385532379 seconds, loss 16.70967372526722
train 47604 images, use 897.1257064342499 seconds, loss 16.707141124707395
train 47804 images, use 900.0289044380188 seconds, loss 16.705920206814245
train 48004 images, use 902.9425144195557 seconds, loss 16.704325851649568
train 48204 images, use 905.8145999908447 seconds, loss 16.702403748822775
train 48404 images, use 908.7451648712158 seconds, loss 16.700740555656232
train 48604 images, use 911.5875916481018 seconds, loss 16.698936083349764
train 48804 images, use 914.4508256912231 seconds, loss 16.69687814599978
train 49004 images, use 917.2964887619019 seconds, loss 16.694150015843135
train 49204 images, use 920.786744594574 seconds, loss 16.691450378794414
train 49404 images, use 923.7491445541382 seconds, loss 16.689522305995688
train 49604 images, use 926.7130980491638 seconds, loss 16.68881591991578
train 49804 images, use 929.9558384418488 seconds, loss 16.686671136316285
train 50004 images, use 932.9083547592163 seconds, loss 16.68442232615279
train 50204 images, use 935.8041653633118 seconds, loss 16.683640922916553
train 50404 images, use 938.6787312030792 seconds, loss 16.68118564432868
train 50604 images, use 941.584564447403 seconds, loss 16.678981870629535
train 50804 images, use 944.5092360973358 seconds, loss 16.678178745336446
train 51004 images, use 947.3819003105164 seconds, loss 16.676020625244867
train 51204 images, use 950.2924408912659 seconds, loss 16.67481947347459
train 51404 images, use 954.3231017589569 seconds, loss 16.672926334959303
train 51604 images, use 957.257821559906 seconds, loss 16.671044042546182
train 51804 images, use 960.1481211185455 seconds, loss 16.668111039798447
train 52004 images, use 963.0636823177338 seconds, loss 16.666546611378074
train 52204 images, use 966.0126099586487 seconds, loss 16.663611306100766
train 52404 images, use 968.9386229515076 seconds, loss 16.662635170327054
train 52604 images, use 971.8639588356018 seconds, loss 16.661395900875984
train 52804 images, use 974.7638468742371 seconds, loss 16.66013820964881
train 53004 images, use 977.7472088336945 seconds, loss 16.657581645342074
train 53204 images, use 980.6245319843292 seconds, loss 16.65557627505135
train 53404 images, use 983.5750267505646 seconds, loss 16.654447556970503
train 53604 images, use 988.034987449646 seconds, loss 16.653661898687123
train 53804 images, use 991.0207993984222 seconds, loss 16.65178210707672
train 54004 images, use 993.8632347583771 seconds, loss 16.64950877835072
train 54204 images, use 996.8274006843567 seconds, loss 16.647233506794382
train 54404 images, use 999.6692225933075 seconds, loss 16.647246664086786
train 54604 images, use 1002.5358896255493 seconds, loss 16.64579027061619
train 54804 images, use 1005.454562664032 seconds, loss 16.64364420475011
train 55004 images, use 1008.3407356739044 seconds, loss 16.641793800135417
train 55204 images, use 1011.2330646514893 seconds, loss 16.64059782878089
train 55404 images, use 1014.1506969928741 seconds, loss 16.63939026301905
train 55604 images, use 1017.0533044338226 seconds, loss 16.63771848235434
train 55804 images, use 1021.0928404331207 seconds, loss 16.636872910851732
train 56004 images, use 1023.9409286975861 seconds, loss 16.63610813805349
train 56204 images, use 1026.7607975006104 seconds, loss 16.635005790964
train 56404 images, use 1029.670196056366 seconds, loss 16.633634344362534
train 56604 images, use 1032.6894733905792 seconds, loss 16.632918512234923
train 56804 images, use 1035.6014757156372 seconds, loss 16.63111646268388
train 57004 images, use 1038.461646080017 seconds, loss 16.629988009428462
